title,abstract,year,venue,publisher,url,authors,contribution type,annotator,citation style,citation modality,citation visibility,citation term,task name,evidence level,citation frequency,multilinguality,parametric,non-parametric,prompting,pre-training,fine-tuning,task,dataset,evaluation
Evaluating and Fine-Tuning Retrieval-Augmented Language Models to Generate Text with Accurate Citations,"Retrieval Augmented Generation (RAG) is be-coming an essential tool for easily accessinglarge amounts of textual information. However,it is often challenging to determine whether theinformation in a given response originates fromthe retrieved context, the training, or is a resultof hallucination. Our contribution in this area istwofold. Firstly, we demonstrate how existingdatasets for information retrieval evaluation canbe used to assess the ability of Large LanguageModels (LLMs) to correctly identify relevantsources. Our findings indicate that there arenotable discrepancies in the performance ofdifferent current LLMs in this task. Secondly,we utilise the datasets and metrics for citationevaluation to enhance the citation quality ofsmall open-weight LLMs through fine-tuning.We achieve significant performance gains inthis task, matching the results of much largermodels.",2024,konvens,ACL,https://aclanthology.org/2024.konvens-main.6,"Vinzent Penzkofer, Timo Baumann","evaluation, resource, approach",B,in-line citations,text,final response,citation,no,document,multiple,no,no,post-retrieval,zero-shot,no,"supervised fine-tuning, reinforcement learning",question answering,NaturalQuestions,RAGE
Towards Fine-Grained Citation Evaluation in Generated Text: A Comparative Analysis of Faithfulness Metrics,"Large language models (LLMs) often produce unsupported or unverifiable content, known as “hallucinations.” To mitigate this, retrieval-augmented LLMs incorporate citations, grounding the content in verifiable sources. Despite such developments, manually assessing how well a citation supports the associated statement remains a major challenge. Previous studies use faithfulness metrics to estimate citation support automatically but are limited to binary classification, overlooking fine-grained citation support in practical scenarios. To investigate the effectiveness of faithfulness metrics in fine-grained scenarios, we propose a comparative evaluation framework that assesses the metric effectiveness in distinguishing citations between three-category support levels: full, partial, and no support. Our framework employs correlation analysis, classification evaluation, and retrieval evaluation to measure the alignment between metric scores and human judgments comprehensively. Our results show no single metric consistently excels across all evaluations, revealing the complexity of assessing fine-grained support. Based on the findings, we provide practical recommendations for developing more effective metrics.",2024,inlg,ACL,https://aclanthology.org/2024.inlg-main.35,"Weijia Zhang, Mohammad Aliannejadi, Yifei Yuan, Jiahuan Pei, Jia-hong Huang, Evangelos Kanoulas",evaluation,B,in-line citations,text,final response,citation,fine-grained citation evaluation,no,multiple,no,no,no,no,no,no,question answering,GenSearch-Verifiability,"BERT-Score, BART-Score, FactCC, SummaC, Discrete LLM-scoring, Continuous LLM-scoring, Auto-AIS-sentence, AlignScore"
This Reference Does Not Exist: An Exploration of LLM Citation Accuracy and Relevance,"Citations are a fundamental and indispensable part of research writing. They provide support and lend credibility to research findings. Recent GPT-fueled interest in large language models (LLMs) has shone a spotlight on the capabilities and limitations of these models when generating relevant citations for a document. Recent work has focused largely on title and author accuracy. We underline this effort and expand on it with a preliminary exploration in relevance of model-recommended citations. We define three citation-recommendation tasks. We also collect and annotate a dataset of model-recommended citations for those tasks. We find that GPT-4 largely outperforms earlier models on both author and title accuracy in two markedly different CS venues, but may not recommend references that are more relevant than those recommended by the earlier models. The two venues we compare are CHI and EMNLP. All models appear to perform better at recommending EMNLP papers than CHI papers.",2024,hcinlp,ACL,https://aclanthology.org/2024.hcinlp-1.3,"Courtni Byun, Piper Vasicek, Kevin Seppi","approach, evaluation, resource",A,"in-line citations, citation report",text,final response,citation,citation recommendation,document,single,no,pure llm,no,zero-shot,no,no,"related work generation, grounded text generation",Byun-Citation-Recommendation,"Title Accuracy, Author Precision, Author Recall, Year Accuracy, Title Relevance, Real Author Relevance, False Author Relevance"
Presentations are not always linear! GNN meets LLM for Text Document-to-Presentation Transformation with Attribution,"Automatically generating a presentation from the text of a long document is a challenging and useful problem. In contrast to a flat summary, a presentation needs to have a better and non-linear narrative, i.e., the content of a slide can come from different and non-contiguous parts of the given document. However, it is difficult to incorporate such non-linear mapping of content to slides and ensure that the content is faithful to the document. LLMs are prone to hallucination and their performance degrades with the length of the input document. Towards this, we propose a novel graph based solution where we learn a graph from the input document and use a combination of graph neural network and LLM to generate a presentation with attribution of content for each slide. We conduct thorough experiments to show the merit of our approach compared to directly using LLMs for this task.",2024,findings,ACL,https://aclanthology.org/2024.findings-emnlp.936,"Himanshu Maheshwari, Sambaran Bandyopadhyay, Aparna Garimella, Anandhavelu Natarajan","approach, evaluation",B,citation report,text,final response,attribution,no,paragraph,multiple,no,no,in-context,zero-shot,no,no,grounded text generation,SciDuet,"ROUGE-N, G-Eval, Coverage-SBERT, Perplexity"
Toward Structured Related Work Generation with Novelty Statements,"To help readers understand the novelty and the research context, an excellent related work section is structured (i.e., the section consists of paragraphs determined by categorizing papers into several topics) and includes descriptions of novelty. However, previous studies viewed related work generation as multi-document summarization, and the structure and novelty statement are ignored in such studies. In this paper, we redefine the related work generation task as summarization with structure (i.e., multiple paragraphs with citation) and novelty statement. For this task, we propose a quality-oriented dataset and evaluation metrics. Experiments evaluated the state-of-the-art language models on our tasks, and we confirmed the issues with the current models and the validity of the evaluation indicators.",2024,sdp,ACL,https://aclanthology.org/2024.sdp-1.5,"Kazuya Nishimura, Kuniaki Saito, Tosho Hirasawa, Yoshitaka Ushiku","approach, resource, evaluation",A,in-line citations,text,final response,citation,structured related work generation with novelty statement,document,single,no,no,in-context,zero-shot,no,no,related work generation,"STRoGeNS-arXiv22, STRoGeNS-conf22, STRoGeNS-conf23","ROUGE-N, ROUGE-L, F1 Citation Structure, ARI, ARI', MAEp, G-Eval-Novelty"
Controllable Citation Sentence Generation with Language Models,"Citation generation aims to generate a citation sentence that refers to a chosen paper in the context of a manuscript. However, a rigid citation generation process is at odds with an author’s desire to control specific attributes, such as 1) the citation intent, e.g., either introducing background information or comparing results, and 2) keywords that should appear in the citation text. To provide these degrees of controllability during citation generation, we propose to integrate the manuscript context, the context of the referenced paper, and the desired control attributes into a structured template and use it to fine-tune a language model (LM) via next-token prediction. We then utilize Proximal Policy Optimization to directly optimize the LM in favor of a high score of our proposed controllability metric. The proposed workflow harmoniously combines citation attribute suggestion and conditional citation generation into one LM, allowing for better user control.",2024,sdp,ACL,https://aclanthology.org/2024.sdp-1.4,"Nianlong Gu, Richard Hahnloser","approach, resource",A,in-line citations,text,final response,citation,citation sentence generation,document,single,no,no,in-context,zero-shot,no,"supervised fine-tuning, reinforcement learning",citation text generation,Gu-CCSG,"IAS, KR, ROUGE-N, ROUGE-L, FS"
Attributed Question Answering for Preconditions in the Dutch Law,"In this paper, we address the problem of answering questions about preconditions in the law, e.g. “When can the court terminate the guardianship of a natural person?”. When answering legal questions, it is important to attribute the relevant part of the law; we therefore not only generate answers but also references to law articles. We implement a retrieval augmented generation (RAG) pipeline for long-form answers based on the Dutch law, using several state-of-the-art retrievers and generators. For evaluating our pipeline, we create a dataset containing legal QA pairs with attributions. Our experiments show promising results on our extended version for the automatic evaluation metrics from the Automatic LLMs’ Citation Evaluation (ALCE) Framework and the G-EVAL Framework. Our findings indicate that RAG has significant potential in complex, citation-heavy domains like law, as it helps laymen understand legal preconditions and rights by generating high-quality answers with accurate attributions.",2024,nllp,ACL,https://aclanthology.org/2024.nllp-1.12,"Felicia Redelaar, Romy Van Drie, Suzan Verberne, Maaike De Boer","resource, application, evaluation",B,citation report,text,final response,attribution,attributed question answering,paragraph,multiple,yes,no,post-retrieval,few-shot,no,no,question answering,DutchAttrLegalQA,"G-Eval Fluency, G-Eval Coherence, ROUGE-L, METEOR, G-Eval Consistency, G-Eval Relevance, Citation Recall Retrieval, Citation Precision Retrieval"
Effective Large Language Model Adaptation for Improved Grounding and Citation Generation,"Large language models (LLMs) have achieved remarkable advancements in natural language understanding and generation. However, one major issue towards their widespread deployment in the real world is that they can generate “hallucinated” answers that are not factual.Towards this end, this paper focuses on improving LLMs by grounding their responses in retrieved passages and by providing citations. We propose a new framework, AGREE, Adaptation for GRounding EnhancEment, that improves the grounding from a holistic perspective. Our framework tunes LLMs to self-ground the claims in their responses and provide accurate citations to retrieved documents. This tuning on top of the pre-trained LLMs requires well-grounded responses (with citations) for paired queries, for which we introduce a method that can automatically construct such data from unlabeled queries. The self-grounding capability of tuned LLMs further grants them a test-time adaptation (TTA) capability that can actively retrieve passages to support the claims that have not been grounded, which iteratively improves the responses of LLMs. Across five datasets and two LLMs, our results show that the proposed tuning-based framework generates superior grounded responses with more accurate citations compared to prompting-based approaches and post-hoc citing-based approaches.",2024,naacl,ACL,https://aclanthology.org/2024.naacl-long.346,"Xi Ye, Ruoxi Sun, Sercan Arik, Tomas Pfister",approach,A,in-line citations,text,final response,"citation, attribution",citation generation,paragraph,multiple,no,no,in-generation,zero-shot,no,supervised fine-tuning,question answering,"NaturalQuestions, StrategyQA, ASQA, FEVER, QAMPARI, Enterprise","ALCE, Accuracy QA"
Towards Improved Multi-Source Attribution for Long-Form Answer Generation,"Teaching large language models (LLMs) to generate text with attribution to evidence sources can reduce hallucinations, improve verifiability in question answering systems (QA), and increase reliability of retrieval augmented LLMs. Despite gaining increasing popularity for usage in QA systems and search engines, current LLMs struggle with attribution for long-form responses which require reasoning over multiple evidence sources. To address this, in this paper we aim to improve the attribution capability of LLMs for long-form answer generation to multiple sources, with multiple citations per sentence. However, data for training multi-source attributable QA systems is difficult and expensive to annotate, and therefore scarce. To overcome this challenge, we transform existing QA datasets for this task (MultiAttr), and empirically demonstrate, on a wide range of attribution benchmark datasets, that fine-tuning on MultiAttr provides significant improvements over training only on the target QA domain. Lastly, to fill a gap in existing benchmarks, we present a multi-source attribution dataset containing multi-paragraph answers, PolitiICite, based on PolitiFact articles that discuss events closely related to implementation statuses of election promises.",2024,naacl,ACL,https://aclanthology.org/2024.naacl-long.216,"Nilay Patel, Shivashankar Subramanian, Siddhant Garg, Pratyay Banerjee, Amita Misra","resource, approach",B,in-line citations,text,final response,attribution,multi-source attribution for long-form answer generation,"paragraph, document",multiple,no,no,"post-retrieval, post-generation",no,yes,supervised fine-tuning,question answering,"PolitiCite, GenSearch-Verifiability, MS MARCO, ALCE, MultiAttr","Citation F1 Retrieval, Citation Accuracy Retrieval, ALCE"
ExpertQA: Expert-Curated Questions and Attributed Answers,"As language models are adopted by a more sophisticated and diverse set of users, the importance of guaranteeing that they provide factually correct information supported by verifiable sources is critical across fields of study. This is especially the case for high-stakes fields, such as medicine and law, where the risk of propagating false information is high and can lead to undesirable societal consequences. Previous work studying attribution and factuality has not focused on analyzing these characteristics of language model outputs in domain-specific scenarios. In this work, we conduct human evaluation of responses from a few representative systems along various axes of attribution and factuality, by bringing domain experts in the loop. Specifically, we collect expert-curated questions from 484 participants across 32 fields of study, and then ask the same experts to evaluate generated responses to their own questions. In addition, we ask experts to improve upon responses from language models. The output of our analysis is ExpertQA, a high-quality long-form QA dataset with 2177 questions spanning 32 fields, along with verified answers and attributions for claims in the answers.",2024,naacl,ACL,https://aclanthology.org/2024.naacl-long.167,"Chaitanya Malaviya, Subin Lee, Sihao Chen, Elizabeth Sieber, Mark Yatskar, Dan Roth","resource, evaluation, approach",A,in-line citations,text,final response,"citation, attribution",attribution generation,document,multiple,no,pure llm,"post-generation, post-retrieval",zero-shot,no,supervised fine-tuning,question answering,ExpertQA,"Auto-AIS-sentence, Accuracy NLI, FActScore, ROUGE-N, ROUGE-L, QAFactEval"
WIKIGENBENCH:Exploring Full-length Wikipedia Generation under Real-World Scenario,"It presents significant challenges to generate comprehensive and accurate Wikipedia articles for newly emerging events under real-world scenario. Existing attempts fall short either by focusing only on short snippets or by using metrics that are insufficient to evaluate real-world scenarios. In this paper, we construct WIKIGENBENCH, a new benchmark consisting of 1,320 entries, designed to align with real-world scenarios in both generation and evaluation. For generation, we explore a real-world scenario where structured, full-length Wikipedia articles with citations are generated for new events using input documents from web sources. For evaluation, we integrate systematic metrics and LLM-based metrics to assess the verifiability, organization, and other aspects aligned with real-world scenarios. Based on this benchmark, we conduct extensive experiments using various models within three commonly used frameworks: direct RAG, hierarchical structure-based RAG, and RAG with fine-tuned generation model. Experimental results show that hierarchical-based methods can generate more comprehensive content, while fine-tuned methods achieve better verifiability. However, even the best methods still show a significant gap compared to existing Wikipedia content, indicating that further research is necessary.",2025,coling,ACL,https://aclanthology.org/2025.coling-main.349,"Jiebin Zhang, Eugene J. Yu, Qinyu Chen, Chenhao Xiong, Dawei Zhu, Han Qian, Mingbo Song, Weimin Xiong, Xiaoguang Li, Qun Liu, Sujian Li","resource, evaluation",B,in-line citations,text,final response,citation,no,document,multiple,no,no,post-retrieval,zero-shot,no,supervised fine-tuning,summarization,WikiGenBench,"METEOR, ROUGE-L, Citation Precision NLI, Citation Recall NLI, Citation Rate, Focus Score, Coverage Score, G-Eval Fluency, Outline Score, Organization Score"
Towards Faithful Multi-step Reasoning through Fine-Grained Causal-aware Attribution Reasoning Distillation,"Despite the remarkable reasoning capabilities demonstrated by large language models (LLM), the substantial computational overhead limits their practices. Some efforts have been directed toward distilling multi-step reasoning capabilities into smaller models through chain-of-thought (CoT). While CoT facilitates multi-step reasoning, the dependencies between reasoning steps are not always clearly discernible, which may lead to inconsistent reasoning. In this paper, we introduce fine-grained attribution reasoning distillation (FARD), which incorporates grounded citations to consolidate the relationships between reasoning steps. Specifically, FARD distills attribution reasoning rationales from LLMs to substitute CoT reasonings, which clarifies the dependencies among reasoning steps. Besides, we regularize the model’s attention pattern by leveraging the causal dependencies between reasoning steps, thereby enhancing the consistency of reasoning. Grounded attribution reasoning also enhances interpretability and verifiability, thereby facilitating faithful reasoning. We evaluate FARD on mathematical and general reasoning benchmarks. The experimental results indicate that FARD outperforms CoT distillation methods in mathematical reasoning, demonstrating its effectiveness. Furthermore, the small models trained with FARD have shown outstanding performance in out-of-distribution reasoning, proving strong generalization capabilities.",2025,coling,ACL,https://aclanthology.org/2025.coling-main.157,"Zheng Chu, Jingchang Chen, Zhongjie Wang, Guo Tang, Qianglong Chen, Ming Liu, Bing Qin",approach,A,in-line citations,"text, graph",intermediate text,"citation, attribution",fine-grained attribution reasoning distillation,sentence,multiple,no,model-centric,no,"zero-shot, few-shot",no,supervised fine-tuning,question answering,"GSM8K, GSM-Plus, SVAMP, ASDiv, MultiArith, SingleEQ, StrategyQA, Logical Deduction, Date Understanding","Accuracy QA, PDR, ASP"
Explaining Relationships Among Research Papers,"The rapid pace of research publications makes it challenging for researchers to stay up to date. There is a growing need for automatically generated, concise literature reviews to help researchers quickly identify papers relevant to their interests. Prior work over the past decade has focused on summarizing individual research papers, typically in the context of citation generation, while the relationships among multiple papers have largely been overlooked. Existing approaches primarily generate standalone citation sentences without addressing the need for expository and transition sentences to explain the relationships among multiple citations. In this work, we propose a feature-based, LLM-prompting approach to generate richer citation texts and simultaneously capture the complex relationships among multiple papers. Our expert evaluation reveals a strong correlation between human preference and integrative writing styles, indicating that readers favor high-level, abstract citations with transition sentences that weave them into a coherent narrative.",2025,coling,ACL,https://aclanthology.org/2025.coling-main.73,"Xiangci Li, Jessica Ouyang",approach,A,narrative citations,text,final response,citation,automatic literature review generation,document,single,no,no,"in-context, post-retrieval",zero-shot,no,no,related work generation,Li-Citation-Graph,"ROUGE-N, ROUGE-L, Fluency-5, Organization-Coherence-5, Relevance-Target-Paper-5, Relevance-Cited-Papers-5, Facuality-5, Usefulness-Informativeness-5, Writing-Style-5, Overall-Quality-5"
HGOT: Hierarchical Graph of Thoughts for Retrieval-Augmented In-Context Learning in Factuality Evaluation,"With the widespread adoption of large language models (LLMs) in numerous applications, the challenge of factuality and the propensity for hallucinations has emerged as a significant concern. To address this issue, particularly in retrieval-augmented in-context learning, we introduce the hierarchical graph of thoughts (HGOT), a structured, multi-layered graph approach designed to enhance the retrieval of pertinent passages during in-context learning. The framework utilizes the emergent planning capabilities of LLMs, employing the divide-and-conquer strategy to break down complex queries into manageable sub-queries. It refines self-consistency majority voting for answer selection, which incorporates the recently proposed citation recall and precision metrics to assess the quality of thoughts, linking an answer’s credibility intrinsically to the thought’s quality. This methodology introduces a weighted system in majority voting, prioritizing answers based on the citation quality of their thoughts. Additionally, we propose a scoring mechanism for evaluating retrieved passages, considering factors such as citation frequency and quality, self-consistency confidence, and the retrieval module’s ranking. Experiments indicate that HGOT excels as a versatile approach, outperforming competing models in FEVER by up to 7% and matching leading models such as Retrieve-then-Read in Open-SQuAD, and DSP in HotPotQA, demonstrating its efficacy in enhancing LLMs’ factuality.",2024,trustnlp,ACL,https://aclanthology.org/2024.trustnlp-1.12,"Yihao Fang, Stephen Thomas, Xiaodan Zhu","evaluation, approach",B,in-line citations,text,intermediate text,citation,no,paragraph,multiple,no,no,post-retrieval,few-shot,no,no,question answering,"FEVER, SQuAD1.1, HotpotQA","EM F1, EM"
ChatGPT Hallucinates when Attributing Answers,"Can ChatGPT provide evidence to support its answers? Does the evidence it suggests actually exist and does it really support the answer? We investigate these questions using a collection of domain-specific knowledge-based questions, specifically prompting ChatGPT to provide both an answer and supporting evidence in the form of references to external sources. We also investigate how different prompts impact answers and evidence. We find that ChatGPT provides correct or partially correct answers of the time; however, the suggested references actually only exist 14% of the time. We further provide insights on the generated references that reveal common traits among the references that ChatGPT generates, and show how even if a reference provided by the model does exist, this reference often does not always support the claims ChatGPT attributes to it. Our findings are important because (1) they are the first systematic analysis of the references generated by ChatGPT in its answers; (2) they suggest that the model may leverage good quality information in producing correct answers, but is unable to attribute real evidence to support its answers. Prompts, raw result files and manual analysis are made publicly available at https://github.com/ielab/LLM-attribution.",2023,SIGIR-AP,ACM,https://doi.org/10.1145/3624918.3625329,"Guido Zuccon, Bevan Koopman, Razia Shaik",evaluation,A,citation report,text,final response,"attribution, citation",answer attribution,document,multiple,no,pure llm,no,zero-shot,no,no,question answering,no,"Answer-Correctness-3, References-Provision-2, Reference-Existence-2, URL-Provision-2, Attribution-3"
Qlarify: Recursively Expandable Abstracts for Dynamic Information Retrieval over Scientific Papers,"Navigating the vast scientific literature often starts with browsing a paper’s abstract. However, when a reader seeks additional information, not present in the abstract, they face a costly cognitive chasm during their dive into the full text. To bridge this gap, we introduce recursively expandable abstracts, a novel interaction paradigm that dynamically expands abstracts by progressively incorporating additional information from the papers’ full text. This lightweight interaction allows scholars to specify their information needs by quickly brushing over the abstract or selecting AI-suggested expandable entities. Relevant information is synthesized using a retrieval-augmented generation approach, presented as a fluid, threaded expansion of the abstract, and made efficiently verifiable via attribution to relevant source-passages in the paper. Through a series of user studies, we demonstrate the utility of recursively expandable abstracts and identify future opportunities to support low-effort and just-in-time exploration of long-form information contexts through LLM-powered interactions.",2024,UIST,ACM,https://doi.org/10.1145/3654777.3676397,"Raymond Fok, Joseph Chee Chang, Tal August, Amy X. Zhang, Daniel S. Weld",application,A,passage,text,final response,"attribution, citation, quote",attributed question answering,"paragraph, document",single,no,no,post-retrieval,"zero-shot, few-shot",no,no,"summarization, question answering",no,User Study
Now I know! Empowering Voters with RAG-enabled LLMs to Eliminate Political Uncertainty,"Accurate political information is vital for voters to make informed decisions. However, due to the plethora of data and biased sources, accessing concise, factual information still remains a challenge. To tackle this problem, we present an open-access, deployed digital assistant powered by Large Language Models (LLMs), specifically tailored to answer voters’ questions and help them vote for the political party they mostly align with. The user can select up to 3 parties, input their question, and get short, summarized answers from the parties’ published political agendas, which contain hundreds of pages and, thus, are difficult to navigate for the typical citizen. Our NLP system architecture leverages OpenAI’s GPT-4 and incorporates Retrieval-Augmented Generation with Citations (RAG+C) to integrate custom data into LLMs effectively and build user trust. We also describe our database design, underlining the use of an open-source vector database, optimized for high-dimensional semantic search across multiple documents, and a semantic-rich LLM cache, reducing operational expenses and end-user latency time. Our open-access system supports Greek and English and has been deployed live at https://toraksero.gr/for the Greek 2023 Elections, which gathered 30K user sessions and 74% user satisfaction.",2024,SETN,ACM,https://doi.org/10.1145/3688671.3688784,"Stavros Vassos, Stratos Goudelis, Dimi Balaouras, Giannis Vitalis, Vasilis Nakos, Glykeria Pigka, Loukia Tsagkli, Menia Hatzikou, Zachos Tsionas, Alexandros Chasanis, Stan van de Burgt, Mark Pors, Stratos Papadoudis, Lefteris Loukas",application,B,passage,text,final response,citation,retrieval-augmented generation with citations,document,single,yes,no,post-retrieval,zero-shot,no,no,question answering,Vassos-GreekPartyPrograms,"User Study, Query Correctness Rate"
An Evaluation Framework for Attributed Information Retrieval using Large Language Models,"With the growing success of Large Language models (LLMs) in information-seeking scenarios, search engines are now adopting generative approaches to provide answers along with in-line citations as attribution. While existing work focuses mainly on attributed question answering, in this paper, we target information-seeking scenarios which are often more challenging due to the open-ended nature of the queries and the size of the label space in terms of the diversity of candidate-attributed answers per query. We propose a reproducible framework to evaluate and benchmark attributed information seeking, using any backbone LLM, and different architectural designs: (1) Generate (2) Retrieve then Generate, and (3) Generate then Retrieve. Experiments using HAGRID, an attributed information-seeking dataset, show the impact of different scenarios on both the correctness and attributability of answers.",2024,CIKM,ACM,https://doi.org/10.1145/3627673.3679172,"Hanane Djeddal, Pierre Erbacher, Raouf Toukal, Laure Soulier, Karen Pinel-Sauvagnat, Sophia Katrenko, Lynda Tamine",evaluation,B,in-line citations,text,final response,attribution,attributed information retrieval,document,multiple,no,no,"post-retrieval, post-generation",zero-shot,no,no,question answering,HAGRID,"ROUGE-L, BLEU-N, BERT-Score, Auto-AIS-paragraph, Auto-AIS-sentence, Citation Precision NLI, Citation Recall NLI, Citation Overlap Precision, Citation Overlap Recall"
Synergi: A Mixed-Initiative System for Scholarly Synthesis and Sensemaking,"Efficiently reviewing scholarly literature and synthesizing prior art are crucial for scientific progress. Yet, the growing scale of publications and the burden of knowledge make synthesis of research threads more challenging than ever.While significant research has been devoted to helping scholars interact with individual papers, building research threads scattered across multiple papers remains a challenge.Most top-down synthesis (and LLMs) make it difficult to personalize and iterate on the output, while bottom-up synthesis is costly in time and effort.Here, we explore a new design space of mixed-initiative workflows.In doing so we develop a novel computational pipeline, Synergi, that ties together user input of relevant seed threads with citation graphs and LLMs, to expand and structure them, respectively.Synergiallows scholars to start with an entire threads-and-subthreads structure generated from papers relevant to their interests, and to iterate and customize on it as they wish. In our evaluation, we find that Synergi helps scholars efficiently make sense of relevant threads, broaden their perspectives, and increases their curiosity. We discuss future design implications for thread-based, mixed-initiative scholarly synthesis support tools.",2023,UIST,ACM,https://doi.org/10.1145/3586183.3606759,"Hyeonsu B Kang, Tongshuang Wu, Joseph Chee Chang, Aniket Kittur",application,A,"in-line citations, narrative citations, citation report",text,final response,citation,no,document,multiple,no,no,post-retrieval,zero-shot,no,no,summarization,S2ORC,User Study
On the Evaluation of Machine-Generated Reports,"Large Language Models (LLMs) have enabled new ways to satisfy information needs. Although great strides have been made in applying them to settings like document ranking and short-form text generation, they still struggle to compose complete, accurate, and verifiable long-form reports. Reports with these qualities are necessary to satisfy the complex, nuanced, or multi-faceted information needs of users. In this perspective paper, we draw together opinions from industry and academia, and from a variety of related research areas, to present our vision for automatic report generation, and---critically---a flexible framework by which such reports can be evaluated. In contrast with other summarization tasks, automatic report generation starts with a detailed description of an information need, stating the necessary background, requirements, and scope of the report. Further, the generated reports should be complete, accurate, and verifiable. These qualities, which are desirable---if not required---in many analytic report-writing settings, require rethinking how to build and evaluate systems that exhibit these qualities. To foster new efforts in building these systems, we present an evaluation framework that draws on ideas found in various evaluations. To test completeness and accuracy, the framework uses nuggets of information, expressed as questions and answers, that need to be part of any high-quality generated report. Additionally, evaluation of citations that map claims made in the report to their source documents ensures verifiability.",2024,SIGIR,ACM,https://doi.org/10.1145/3626772.3657846,"James Mayfield, Eugene Yang, Dawn Lawrie, Sean MacAvaney, Paul McNamee, Douglas W. Oard, Luca Soldaini, Ian Soboroff, Orion Weller, Efsun Kayi, Kate Sanders, Marc Mason, Noah Hibbler",position,A,in-line citations,text,final response,citation,no,document,multiple,no,no,post-retrieval,no,no,no,summarization,no,Mayfield-Report-Sentence-Scoring
Sovereign Risk Summarization,"This paper introduces an LLM-based approach for analyzing and summarizing factors relevant to sovereign risk ratings for foreign countries. Our approach automatically generates sovereign risk reports by summarizing the natural language source documents, and is the first approach that generates risk reports that are qualitative in nature. It utilizes GPT-4 to automatically interpret and extract key summary points from extensive data sets, and compiles them into a comprehensive report. Our approach preserves temporality in summarizations, assigns citations to the generated summaries, and checks for hallucinations. Our solution, which could be used for reports from approximately 120 countries, demonstrated a significant reduction in analysis and report generation time from one to two weeks (manual approach) to just one to two hours, while maintaining an F1 score exceeding 0.7, indicating very good accuracy. These results suggest that our approach could greatly improve the sovereign risk rating process, enhancing efficiency while ensuring comprehensive information coverage and easy validation.",2024,ICAIF,ACM,https://doi.org/10.1145/3677052.3698669,"Kaushal Shetty, Santosh Kumar Bojanki, Adwait Ratnaparkhi",application,A,in-line citations,text,final response,citation,citation generation,document,single,no,no,in-context,"zero-shot, few-shot, chain-of-thought",no,no,summarization,Shetty-Risk-Summarization,"Precision-sentence, Recall-sentence, F1-sentence"
Measuring and Enhancing Trustworthiness of LLMs in RAG through Grounded Attributions and Learning to Refuse,"LLMs are an integral component of retrieval-augmented generation (RAG) systems. While many studies focus on evaluating the overall quality of end-to-end RAG systems, there is a gap in understanding the appropriateness of LLMs for the RAG task. To address this, we introduce Trust-Score, a holistic metric that evaluates the trustworthiness of LLMs within the RAG framework. Our results show that various prompting methods, such as in-context learning, fail to effectively adapt LLMs to the RAG task as measured by Trust-Score. Consequently, we propose Trust-Align, a method to align LLMs for improved Trust-Score performance. 26 out of 27 models aligned using Trust-Align substantially outperform competitive baselines on ASQA, QAMPARI, and ELI5. Specifically, in LLaMA-3-8b, Trust-Align outperforms FRONT on ASQA ($\uparrow$ 12.56), QAMPARI ($\uparrow$ 36.04), and ELI5 ($\uparrow$ 17.69). Trust-Align also significantly enhances models' ability to correctly refuse and provide quality citations. We also demonstrate the effectiveness of Trust-Align across different open-weight models, including the LLaMA series (1b to 8b), Qwen-2.5 series (0.5b to 7b), and Phi3.5 (3.8b). We release our code at https://anonymous.4open.science/r/trust-align.",2025,ICLR,ICLR,https://iclr.cc//virtual/2025/poster/30139,"Maojia Song, Shang Hong Sim, Rishabh Bhardwaj, Hai Leong Chieu, Navonil Majumder, Soujanya Poria","approach, evaluation",B,in-line citations,text,final response,"attribution, citation",attributed question answering,document,multiple,no,no,post-retrieval,no,no,reinforcement learning,question answering,"TRUST-ALIGN, ExpertQA","Trust-Score, AR%"
ContextCite: Attributing Model Generation to Context,"How do language models use information provided as context when generating a response?Can we infer whether a particular generated statement is actually grounded in the context, a misinterpretation, or fabricated?To help answer these questions, we introduce the problem of *context attribution*: pinpointing the parts of the context (if any) that *led* a model to generate a particular statement.We then present ContextCite, a simple and scalable method for context attribution that can be applied on top of any existing language model.Finally, we showcase the utility of ContextCite through three applications:(1) helping verify generated statements(2) improving response quality by pruning the context and(3) detecting poisoning attacks.We provide code for ContextCite at https://github.com/MadryLab/context-cite.",2024,NeurIPS,NeurIPS,https://neurips.cc//virtual/2024/poster/96474,"Benjamin Cohen-Wang, Harshay Shah, Kristian Georgiev, Aleksander Madry",approach,B,in-line citations,text,final response,attribution,context attribution,"sentence, token",single,no,no,in-context,zero-shot,no,no,"question answering, summarization","CNN DailyMail, HotpotQA, MS MARCO, NaturalQuestions, TyDi QA","Top-k Log-Probability Drop, LDS"
