metric name,metric abbreviation,framework,evaluation method,evaluation dimension,decription,source
Grounded Refusals F1,F1GR,Trust-Score,inference-based,correctness,This metric evaluates the model’s refusal performance (the LLMs ability to identify when a response is unanswerable based on the provided documents) by calcuating dataset-wide precision and recall for both ground-truth answerable cases and refusals.,https://iclr.cc//virtual/2025/poster/30139
Grounded Citations F1,F1GC,Trust-Score,inference-based,attribution,F1GC quantifies the Groundedness of Citations.,https://iclr.cc//virtual/2025/poster/30139
Answered Ratio in %,AR%,,retrieval-based,attribution,"This metric measures the answering tendency of an LLM, or the responsiveness. A model is expected to show a high AR% for answerable questions and
a low AR% for unanswerable ones, with the scores expected to align with the dataset distribution.",https://iclr.cc//virtual/2025/poster/30139
Relaxed Exact Match,Relaxed EM,,lexical overlap,correctness,"Relaxed exact match was used to measure generated answer accuracy, considering a generated answer correct if it shares a subsequence relationship with the golden answer and differs by no more than 20 characters.",https://arxiv.org/abs/2412.14457
Intersection over Union,IoU,,vision-based,attribution,"It is used to find the overlap of bounding box, calculated to determine localization precision, with an IoU threshold of 0.5 indicating a correct prediction.",https://arxiv.org/pdf/2412.14457
Mayfield-Report-Sentence-Scoring,Mayfield-Report-Sentence-Scoring,,human evaluation,"citation, correctness","Report sentence scoring. Answers to eight yes/no questions dictate an outcome for each input sentence. + indicates that the sentence is rewarded, - that it is penalized, and 0 that it does not affect the overall report score.",https://dl.acm.org/doi/10.1145/3626772.3657846
Top-k Log-Probability Drop,Top-k Log-Probability Drop,,inference-based,attribution,"Intuitively, a evidence source’s score should reflect the degree to which the generated response would change if the source were excluded.The top-klog-probability drop, measures the effect of excluding the highest-scoring sources on the probability of generating the original response",https://neurips.cc//virtual/2024/poster/96474
Linear Datamodeling Score,LDS,,inference-based,attribution,"Intuitively, a evidence source’s score should reflect the degree to which the generated response would change if the source were excluded. The linear datamodeling score (LDS), measures the extent to which attribution scores can predict the effect of excluding a random subset of sources.",https://dl.acm.org/doi/10.5555/3618408.3619536
Precision-sentence,Precision-sentence,,human evaluation,correctness,Measured how many sentences in the executive summary were factually correct and relevant compared to the human annotations.,https://dl.acm.org/doi/10.1145/3677052.3698669
Recall-sentence,Recall-sentence,,human evaluation,correctness,Assessed how many of the important sentences from the detailed summary were successfully included in the executive summary.,https://dl.acm.org/doi/10.1145/3677052.3698669
F1-sentence,F1-sentence,,human evaluation,correctness,Calculated the harmonic mean of precision and recall to provide a balanced assessment of summary quality.,https://dl.acm.org/doi/10.1145/3677052.3698669
Accuracy-Human,Accuracy-Human,,human evaluation,correctness,Accuracy for human evaluation of answer correctness.,https://neurips.cc//virtual/2024/poster/97561
Answer-Level Recall,Answer-Level Recall,,retrieval-based,attribution,Answer-Level Recall checks if the output contains any correct answers instead of exact match (identical to Hit@1),https://neurips.cc//virtual/2024/poster/95418
Usefulness-GPT-4,Usefulness-GPT-4,,llm-as-a-judge,correctness,How useful is the gernerated response to answer a question on a scale of 1-10,https://ieeexplore.ieee.org/document/10821725
Citation Recall GPT,Citation Recall GPT,,inference-based,attribution,"Adjusting Citation Recall NLI from ALCE. Ignores un-cited statements if no citation could support them, instead of penalizing all un-cited statements.",http://link.springer.com/chapter/10.1007/978-981-96-1710-4_9
Citation Precision GPT,Citation Precision GPT,,inference-based,attribution,"Adjusting Citation Precision NLI from ALCE. Accepts jointly relevant or thematically aligned citations, instead of penalizing redundant or non-essential citations.",http://link.springer.com/chapter/10.1007/978-981-96-1710-4_9
Citation F1 GPT,Citation F1 GPT,,inference-based,attribution,Adjusting Citation F1 NLI from ALCE. Harmonic mean of Citation Recall GPT and Citation Precision GPT.,http://link.springer.com/chapter/10.1007/978-981-96-1710-4_9
Character N-Gram F-Score++,CHRF++,,lexical overlap,correctness,CHRF++ computes the F-score averaged on both character and word-level n-grams to evaluate generated text against a gold/reference text.,https://aclanthology.org/W15-3049/
Hallucinated Entities,Hallucinated Entities,,human evaluation,correctness,The number of entities mentioned in the generated sentence but absent in the source graph.,https://aclanthology.org/2025.naacl-long.513/
Missed Entities,Missed Entities,,human evaluation,correctness,The number of entities present in the source graph but omitted in the generated sentence.,https://aclanthology.org/2025.naacl-long.513/
Hallucinated Relations,Hallucinated Relations,,human evaluation,correctness,The number of relations mentioned in the generated sentence but absent in the source graph.,https://aclanthology.org/2025.naacl-long.513/
Missed Relations,Missed Relations,,human evaluation,correctness,The number of relations present in the source graph but omitted in the generated sentence.,https://aclanthology.org/2025.naacl-long.513/
Grammatical Correctness and Fluency,Grammatical Correctness and Fluency,,human evaluation,linguistic,"A 5-point Likert scale score, ranging from 1-point (indicating ""very poor"") to 5-points (indicating ""highly satisfactory"").",https://aclanthology.org/2025.naacl-long.513/
Answer Accuracy GPT,Answer Accuracy GPT,,inference-based,correctness,"Calculating answer accuracy by providing the gold label reference text, question and answer, as well as the generated answer to GPT4o. Calculating the percentage of GPT4o responses that judge the generated response as correct.",https://arxiv.org/abs/2501.11929
F1 Bag-of-Words,F1 BoW,,lexical overlap,correctness,F1 BoW (macro-averaged) measures overlap between bag-of-words representation of gold and predicted answers,https://aclanthology.org/D19-1606/
Edit Accuracy Rationals,Edit Accuracy Rationals,,lexical overlap,correctness,Percentage of examples for which the revised rationale successfully incorporates feedback,https://aclanthology.org/2024.naacl-long.168/
Supported & Plausible,S&P,,human evaluation,"attribution, correctness","Asking raters to check whether either answer is a Plausible response to the question, and whether it is Supported by the accompanying quote evidence. Asking the participant to decide which answer they prefer (with ties allowed), based on these and other secondary criteria. Assessing quality of answer-evidence pair",https://arxiv.org/abs/2203.11147
Truthful & Informative,T&I,,human evaluation,correctness,"The Tuthful&Informative score assesses the quality of the answers in isolation, and was obtained via evaluation app in which the raters could see the dataset suggested correct and incorrect answers.",https://aclanthology.org/2022.acl-long.229/
Comprehensiveness-10,Comprehensiveness-10,,human evaluation,correctness,How comprehensively is the question answered? (0: lowest - 10: highest),https://arxiv.org/abs/2307.04683
Trust-10,Trust-10,,human evaluation,correctness,How trustworthy is the answer? (0: lowest - 10: highest),https://arxiv.org/abs/2307.04683
Utility-10,Utility-10,,human evaluation,relevance,How useful is the answer? (0: lowest - 10: highest),https://arxiv.org/abs/2307.04683
Citation-Relevance-10,Citation-Relevance-10,,human evaluation,citation,Relevance of top-k provided citations (0: lowest - 10: highest),https://arxiv.org/abs/2307.04683
Citation Faithfulness Rate,Citation Faithfulness,,human evaluation,citation,% of cited documents that are truly used during generation.,https://arxiv.org/abs/2412.18004
Llama-3-Eval,Llama-3-Eval,,llm-as-a-judge,user experience,"Llama-3-Eval, an open-source variant of the widely used G-Eval metric.",https://arxiv.org/abs/2412.15249
Citation Coverage,Citation Coverage,,retrieval-based,citation,Citation Coverage (in %) defines the number of citations covered in the generated response.,https://arxiv.org/abs/2412.15249
Normalized Recall@k,Normalized Recall@k,,retrieval-based,retrieval,"Unlike standard recall, which measures how many ground truth citations are retrieved, Normalized Recall@k measures how effectively the retrieval method prioritizes the most relevant papers in the top-k. By normalizing over the total relevant papers retrieved at any rank, this metric helps evaluate ranking quality independently of retrieval coverage.",https://arxiv.org/abs/2412.15249
Mean Average Recall,MAR,,retrieval-based,retrieval,MAR measures the fraction of the actual paragraphs that are covered by the predictions,https://arxiv.org/abs/2308.05361
Mean Average Precision,MAP,,retrieval-based,retrieval,MAP measures the fraction of the predictions that are correct.,https://arxiv.org/abs/2308.05361
Response-Quality-100,Response-Quality-100,,"llm-as-a-judge, human evaluation",correctness,Average of human evaluation and llm-as-a-judge scoring of response quality. (0: lowest - 100: highest),https://arxiv.org/abs/2308.05361
Citation-Accuracy-4,Citation-Accuracy-4,,human evaluation,citation,"The accuracy of each reference was assessed in terms of ‘author(s),’ ‘title,’ ‘year’ and publisher/journal.’ Each reference was classified as ‘correct’, ‘correct but incorrect year,’ ‘confabulated,’ and 'acknowledged as fictional.’",https://arxiv.org/abs/2308.03301
Source Attribution Accuracy@k,Source Attribution Accuracy@k,,watermark verification,attribution,"As a result, for every data provider, the accuracy of source attribution is calculated as number of correct watermarks divided by number of trials",https://arxiv.org/abs/2310.00646
Source Attribution F1,Source Attribution F1,,watermark verification,attribution,"To compute the F1 score, here we first define precision as the number of correct watermarks (watermarks that correctly correspond to its true source) for the data provider i divided by the numberof all generated watermarks that correspond to the data provider i and define recall as the number of correct watermarks divided by the number of trails of the data provider i. We calculate theprecision and recall for each data provider and obtain precision_i and recall_i. Subsequently, We obtain precision_ma and recall_ma by averaging the precisions and recalls from all data providers.",https://arxiv.org/abs/2310.00646
Distinct-N,Distinct-N,,lexical overlap,linguistic,"Distinct-N measures the diversity of generated text by calculating the ratio of unique n-grams to total n-grams, with higher values indicating greater lexical variety.",https://aclanthology.org/N16-1014/
Coherence-Tree-of-Thoughts,Coherence-ToT,,llm-as-a-judge,linguistic,Evaluates the logical flow and consistency of the text using GPT-4 in a zero-shot setting.,https://dl.acm.org/doi/abs/10.5555/3666122.3666639
Natualness-Tree-of-Thoughts,Natualness-ToT,,llm-as-a-judge,linguistic,Assesses how fluent and human-like the text is using GPT-4 in a zero-shot setting.,https://dl.acm.org/doi/abs/10.5555/3666122.3666639
CAQA F1 NLI,CAQA F1 NLI,,inference-based,attribution,"Calculating F1 score for attribution category (supportive, insufficient, contradictory and irrelevant) and overall.",https://arxiv.org/abs/2401.14640
Citation Hits@k,Citation Hits@k,,retrieval-based,citation,"Measuring the gold document ID recall over cases where the answer is correct, where recall is evaluated using Hits@k with k ∈ {1, 10}, which measures whether the gold ID is in the top k beams",https://arxiv.org/abs/2404.01019
Correctness-3,Correctness-3,,human evaluation,correctness,"Human evaluation of correctness (correct, incorrect or refusal). A response is correct if it is both factually correct and relevant to the query. A response is incorrect if it contains any factually inaccurate information. If a response is neither correct nor incorrect, because the model simply declines to respond, we label that as a refusal.","https://arxiv.org/abs/2405.20362, https://arxiv.org/abs/2407.03004"
Groundedness-3,Groundedness-3,,human evaluation,citation,"Human evaluation of groundedness (grounded, misgrounded or ungrounded). A response is grounded if the key factual propositions in its response make valid references to relevant legal documents. A response is ungrounded if key factual propositions are not cited. A response is misgrounded if key factual propositions are cited but misinterpret the source or reference an inapplicable source.",https://arxiv.org/abs/2405.20362
Hallucination-2,Hallucination-2,,human evaluation,correctness,Human evaluation of hallucination (yes or no). A response is considered hallucinated if it is either incorrect or misgrounded.,https://arxiv.org/abs/2405.20362
Reponse-Accuracy-2,Reponse-Accuracy-2,,human evaluation,correctness,Human evaluation of reponse accuracy (yes or no). Accurate responses are those that are both correct and grounded.,https://arxiv.org/abs/2405.20362
Response-Incompleteness-2,Response-Incompleteness-2,,human evaluation,correctness,Human evaluation of reponse incompleteness (yes or no). Incomplete responses are those that are either refusals or ungrounded.,https://arxiv.org/abs/2405.20362
Token F1,Token F1,,lexical overlap,correctness,Token-level F1 compares the overlap between the predicted and gold answer tokens. It is the harmonic mean of token precision (fraction of predicted tokens that are correct) and token recall (fraction of gold tokens that were predicted).,https://arxiv.org/abs/2406.13632
Supporting Paragraph F1,Supporting Paragraph F1,,retrieval-based,attribution,This metric evaluates how well the model identified the correct supporting paragraphs from the context. It computes the F1 score between predicted and gold evidence paragraph sets.,https://arxiv.org/abs/2406.13632
Positional Fine-grained Citation Recall,PFCR,ALiiCE,inference-based,attribution,"This metric assesses whether each atomic claim within a sentence is supported by the cited sources. An atomic claim is a minimal, indivisible assertion extracted via dependency parsing. For each atomic claim, if the concatenated cited passages entail the claim (as determined by a Natural Language Inference model), the recall is 1; otherwise, it's 0. The overall recall is the average across all atomic claims.",https://arxiv.org/abs/2406.13375
Positional Fine-grained Citation Precision,PFCP,ALiiCE,inference-based,attribution,"This metric evaluates the necessity of each citation. For atomic claims with a recall of 1, it checks each cited passage to determine if it's essential. If a cited passage alone does not entail the claim, but the combined citations do, it's considered redundant, resulting in a precision of 0 for that citation. The overall precision is the mean across all such evaluations. ",https://arxiv.org/abs/2406.13375
Positional Fine-grained Citation F1,PFCF1,ALiiCE,inference-based,attribution,Harmonic mean of PFCR and PFCP.,https://arxiv.org/abs/2406.13375
Coefficient of Variation of Citation Positions,CVCP,ALiiCE,structure-based,citation,"CVCP measures the dispersion of citation markers within a sentence. It's calculated by normalizing the positions of citation markers relative to sentence length, computing their standard deviation, and then dividing by the mean. A higher CVCP indicates that citations are more evenly distributed throughout the sentence, suggesting better fine-grained citation placement.",https://arxiv.org/abs/2406.13375
Set Precision,Set Precision,,retrieval-based,attribution,Measures the proportion of correctly identified citations among all citations predicted by the annotator (either human or LLM) based on the masked explanation.,https://arxiv.org/abs/2406.12645
Set Recall,Set Recall,,retrieval-based,attribution,Measures the proportion of ground-truth citations that were correctly recovered by the annotator from the masked explanation.,https://arxiv.org/abs/2406.12645
Set F1,Set F1,,retrieval-based,attribution,The harmonic mean of set precision and set recall.,https://arxiv.org/abs/2406.12645
Completeness-3,Completeness-3,,human evaluation,correctness,"Assesses whether the model's reasoning fully addresses all relevant aspects required for medical interpretation (complete, somewhat complete, incomplete).",https://arxiv.org/abs/2407.03004
Citation Accuracy-2,Citation Accuracy-2,,human evaluation,citation,"Determines if the sources cited by the model are real and correctly matched, considering a citation correct only if the author list and exact title match verbatim (yes or no).",https://arxiv.org/abs/2407.03004
Reading Comprehension-2,Reading Comprehension-2,,human evaluation,linguistic,Evaluates the model's ability to correctly interpret and restate the clinical narrative (yes or no).,https://arxiv.org/abs/2407.03004
Recall Of Knowledge-2,Recall Of Knowledge-2,,human evaluation,correctness,"Assesses whether the model brings in relevant domain knowledge beyond the narrative, such as typical semiology patterns (yes or no).",https://arxiv.org/abs/2407.03004
Reasoning Step-2,Reasoning Step-2,,human evaluation,correctness,Evaluates how well the model connects the narrative and knowledge to reach a clinical inference (yes o no).,https://arxiv.org/abs/2407.03004
Correct Attribution Score,CAS,,inference-based,attribution,"Correct attribution score, the proportion of sentences predicted as correctly attributed among all the sentences in the answer.",https://arxiv.org/abs/2407.01796
Citation Redundancy Score,CRS,,lexical overlap,attribution,"Citation redundancy score, the proportion of non-redundant sentences relative to all sentences in the references.",https://arxiv.org/abs/2407.01796
Consistency Ratio,CR,,lexical overlap,attribution,"Consistency ratio, the text consistency between the reference parts and the reference passages through string matching.",https://arxiv.org/abs/2407.01796
Attribution Ratio,AR,,lexical overlap,attribution,"Attribution ratio, the proportion of sentences in the output that are attributed.",https://arxiv.org/abs/2407.01796
Appropriate Citation Rate,Appropriate Citation Rate,CiteKit,inference-based,attribution,This metric measures the proportion of statements in a generated response that are correctly supported by appropriate citations.,https://arxiv.org/abs/2408.04662
Citation Granularity,Citation Granularity,CiteKit,retrieval-based,citation,"This metric assesses how specific the citations are, evaluating whether they refer to entire documents, summaries, or precise snippets.",https://arxiv.org/abs/2408.04662
Verification Accuracy,Verification Accuracy,,inference-based,correctness,"Classification Accuracy (supported, refuted, not enough information (NEI))",https://arxiv.org/abs/2407.19813
RAGAS Faithfulness ,RAGAS Faithfulness ,RAGAS,inference-based,attribution,"Evaluates how well the generated answer is supported by the retrieved context, by verifying if each claim in the answer can be logically inferred from the context, using an LLM-based entailment check.",https://aclanthology.org/2024.eacl-demo.16/
RAGAS Answer-Relevancy,RAGAS Answer-Relevancy,RAGAS,semantic similarity-based,relevance,Measures the relevance of the generated answer to the original question by computing the average semantic similarity between the original question and a set of questions generated from the answer.,https://aclanthology.org/2024.eacl-demo.16/
RAGAS Context-Precision,RAGAS Context-Precision,RAGAS,retrieval-based,relevance,"Measures how much of the retrieved context is relevant by computing the proportion of context that aligns with the ground-truth answer, emphasizing concise and focused retrieval.",https://aclanthology.org/2024.eacl-demo.16/
RAGAS Context-Recall,RAGAS Context-Recall,RAGAS,retrieval-based,relevance,"Measures the extent to which the retrieved context covers information from the gold answer, assessing whether key facts are included in retrieval.",https://aclanthology.org/2024.eacl-demo.16/
RAGAS Context-Relevancy,RAGAS Context-Relevancy,RAGAS,llm-as-a-judge,relevance,"Uses an LLM to extract relevant sentences from the context that help answer the question, scoring the proportion of useful information relative to the full context.",https://aclanthology.org/2024.eacl-demo.16/
RAGAS Context-Entity-Recall,RAGAS Context-Entity-Recall,RAGAS,retrieval-based,retrieval,"Calculates the fraction of entities in the ground-truth answer that appear in the retrieved context, assessing entity-level recall in the retrieval process.",https://aclanthology.org/2024.eacl-demo.16/
RAGAS Answer-Semantic-Similarity,RAGAS Answer-Semantic-Similarity,RAGAS,semantic similarity-based,correctness,"Computes the semantic similarity between the generated answer and the reference answer using vector embeddings, capturing paraphrased or synonymous content overlap.",https://aclanthology.org/2024.eacl-demo.16/
RAGAS Answer-Correctness,RAGAS Answer-Correctness,RAGAS,inference-based,correctness,"Evaluates the factual accuracy of the generated answer by comparing it to the gold answer, using both claim-level matching and entailment-based verification.",https://aclanthology.org/2024.eacl-demo.16/
Link Prediction Accuracy,Link Prediction Accuracy,,retrieval-based,citation,Link prediction accuracy measures the proportion of correctly predicted citation links between documents compared to the actual links in a gold-standard citation graph.,https://arxiv.org/abs/2409.12177
Correctness Ratio,CR,,llm-as-a-judge,correctness,"Correctness Ratio (CR) measures the factual accuracy of model-generated answers by using GPT-4o to rate them based on the query and ground-truth answers, with citation markers removed (Rating 1-10). It quantifies the proportion of responses judged as correct, comparing citation-enhanced answers to standard ones.",https://arxiv.org/abs/2409.02897
Factuality-of-Evidence-3,Factuality-of-Evidence-3,,human evaluation,citation,"Human evaluation of top 3 references: 1) correct references, where the references are real with correct metadata, (2) references with minor errors, where the references are real but have minor metadata errors, or (3) hallucinated references, where the references do not exist.",https://arxiv.org/abs/2409.13902
Relevance-of-Evidence-Retrieval,Relevance-of-Evidence-Retrieval,,retrieval-based,retrieval,Relevance-of-Evidence-Retrieval measures how well the LLM selects from the most relevant documents retrieved by RAG. It calculates the proportion of top-10 retrieved documents that appear among the LLM's top 3 references and the average rank of those selected documents. This evaluates alignment between retrieval quality and the LLM’s citation choices.,https://arxiv.org/abs/2409.13902
Reponse-Accuracy-5,Reponse-Accuracy-5,,human evaluation,correctness,Human evaluation of Response-Accuracy from 1 (poor) to 5 (perfefct),https://arxiv.org/abs/2409.13902
Completeness-5,Completeness-5,,human evaluation,correctness,Human evaluation of Completness from 1 (poor) to 5 (perfefct),https://arxiv.org/abs/2409.13902
Evidence-Attribution-5,Evidence-Attribution-5,,human evaluation,attribution,Human evaluation of Evidence-Attribution from 1 (poor) to 5 (perfefct),https://arxiv.org/abs/2409.13902
AEE-One-Sided Answer,AEE-One-Sided Answer,AEE,llm-as-a-judge,correctness,Measures whether a response presents only one side of a contentious or multi-faceted issue without acknowledging alternative perspectives.,https://arxiv.org/abs/2401.08590
AEE-Overconfident Answer,AEE-Overconfident Answer,AEE,llm-as-a-judge,correctness,Evaluates if a response displays unjustified certainty especially on topics with limited evidence or ongoing debates.,https://arxiv.org/abs/2401.08590
AEE-Relevant Statements,AEE-Relevant Statements,AEE,llm-as-a-judge,relevance,Measures the proportion of statements in a response that are directly relevant to answering the query.,https://arxiv.org/abs/2401.08590
AEE-Uncited Sources,AEE-Uncited Sources,AEE,retrieval-based,citation,Identifies claims or statements that should have citations but are presented without attribution to any source.,https://arxiv.org/abs/2401.08590
AEE-Source Necessity,AEE-Source Necessity,AEE,llm-as-a-judge,citation,Evaluates whether the types of sources cited are appropriate and necessary for the claims being made.,https://arxiv.org/abs/2401.08590
AEE-Unsupported Statements,AEE-Unsupported Statements,AEE,llm-as-a-judge,attribution,Identifies factual claims made in a response that lack supporting evidence or cannot be verified by the provided citations.,https://arxiv.org/abs/2401.08590
AEE-Citation Thoroughness,AEE-Citation Thoroughness,AEE,llm-as-a-judge,citation,Evaluates the comprehensiveness of citations across all factual claims that warrant attribution.,https://arxiv.org/abs/2401.08590
AEE-Citation Accuracy,AEE-Citation Accuracy,AEE,llm-as-a-judge,citation,Measures whether the cited sources actually support the claims made in the response.,https://arxiv.org/abs/2401.08590
Attribution Recall,Attr_r,,inference-based,attribution,"This metric measures the fraction of atomic facts in the generated answer that are entailed by any retrieved evidence, indicating how many claims are correctly attributed. It is closely related to Auto-AIS-sentence.",https://arxiv.org/abs/2410.16708
Attribution Precision,Attr_p,,inference-based,attribution,"This metric measures the fraction of retrieved evidence snippets that are entailed by at least one atomic fact in the answer, reflecting how much of the retrieved content is actually relevant. It is closely related to Auto-AIS-sentence",https://arxiv.org/abs/2410.16708
F1 Recall-Preservation,F1_rp,,"inference-based, lexical overlap","attribution, preservation",Harmonic mean of Attr_r and Pres-Lev,https://arxiv.org/abs/2410.16708
F1 Precision-Preservation,F1_pp,,"inference-based, lexical overlap","attribution, preservation",Harmonic mean of Attr_p and Pres-Lev,https://arxiv.org/abs/2410.16708
BioGen-Answer Accuracy,BioGen-Answer Accuracy,BioGen,human evaluation,correctness,Measures how many of the answers to the total of 65 questions were deemed acceptable (judged as answering the question at least partially) for each run.,
BioGen-Answer Completeness,BioGen-Answer Completeness,BioGen,semantic similarity-based,correctness,Measures how many of the answer aspects are covered in one answer.,https://arxiv.org/pdf/2411.18069
Biogen-Answer Precision,Biogen-Answer Precision,BioGen,human evaluation,correctness,Measures how many of the assertions in the answer were judged required or acceptable.,https://arxiv.org/pdf/2411.18069
BioGen-Redundancy Score,BioGen-Redundancy Score,BioGen,human evaluation,linguistic,Penalizes a system for generating unnecessary answer sentences; measures informativeness.,https://arxiv.org/pdf/2411.18069
BioGen-Irrelevant Score,BioGen-Irrelevant Score,BioGen,human evaluation,relevance,Penalizes a system for generating inappropriate potentially harmful answer sentences.,https://arxiv.org/pdf/2411.18069
BioGen-Citation Coverage,BioGen-Citation Coverage,BioGen,human evaluation,citation,Measures how well the required and borderline generated answer sentences are backed by the appropriate (judged as supports) citations.,https://arxiv.org/pdf/2411.18069
BioGen-Citation Support Rate,BioGen-Citation Support Rate,BioGen,human evaluation,citation,Assesses how well the system-predicted citations are aligned with the human-judged support citations.,https://arxiv.org/pdf/2411.18069
BioGen-Citation Contradict Rate,BioGen-Citation Contradict Rate,BioGen,human evaluation,citation,Penalizes the answers that are providing documents assessed as Contradicting the statement.,https://arxiv.org/pdf/2411.18069
BioGen-Document Relevancy Recall,BioGen-Document Relevancy Recall,BioGen,retrieval-based,retrieval,Measures the proportion of relevant retrieved documents out of all relevant documents.,https://arxiv.org/pdf/2411.18069
BioGen-Document Relevancy Precision,BioGen-Document Relevancy Precision,BioGen,retrieval-based,retrieval,Measures the proportion of relevant retrieved documents out of the number of provided references.,https://arxiv.org/pdf/2411.18069
Fluency-3,Fluency-3,,human evaluation,linguistic,"Annotators count misprints, incoherent sentences, and abrupt transitions.",https://arxiv.org/pdf/2411.17375
Perceived Utility-3,Perceived Utility-3,,human evaluation,relevance,"Annotators assess how well a generation addresses the query, its conciseness, and style appropriateness.",https://arxiv.org/pdf/2411.17375
Time to Verify,T2V,,human evaluation,citation,Measures the time taken to verify if a generated sentence is covered by its citations.,https://arxiv.org/pdf/2411.17375
Citation Precision-2,Citation Precision-2,,human evaluation,citation,"Evaluates whether each citation supports at least one claim in the sentence it appears in, using binary (yes/no) labels.",https://arxiv.org/abs/2411.17375
Citation Coverage-2,Citation Coverage-2,,human evaluation,citation,"Determines whether all claims in a sentence are supported by the accompanying citations, labeled as yes or no.",https://arxiv.org/abs/2411.17375
ScholarQABench-Correctness,ScholarQABench-Corr,ScholarQABench,llm-as-a-judge,correctness,Evaluates the degree of overlap or matching of a model-generated answer and human-annotated reference.,https://arxiv.org/pdf/2411.14201
ScholarQABench-Relevance,ScholarQABench-Rel,ScholarQABench,llm-as-a-judge,relevance,Assesses if the generated answers are relevant to the question.,https://arxiv.org/pdf/2411.14201
ScholarQABench-Organization and Writing Flow,ScholarQABench-Org,ScholarQABench,llm-as-a-judge,linguistic,Assesses the organization and writing flow of the generated answers.,https://arxiv.org/pdf/2411.14201
ScholarQABench-Overall Usefulness,ScholarQABench-Use,ScholarQABench,llm-as-a-judge,relevance,Evaluates the overall utility and helpfulness of the generated response.,https://arxiv.org/pdf/2411.14201
Attack Success Rate,ASR,,llm-as-a-judge,correctness,Measures the rate at which the jailbreak attack successfully elicits harmful content from the LLM.,https://arxiv.org/pdf/2411.11407
Defense Pass Rate,DPR,,llm-as-a-judge,correctness,Measures the rate at which the defense mechanism prevents the generation of harmful content.,https://arxiv.org/pdf/2411.11407
Kullback-Leibler Divergence,KL Divergence,,inference-based,linguistic,Measures the difference in probability distributions between generated text with and without defense mechanisms.,https://arxiv.org/pdf/2411.11407
Counterfactually-estimated Attribution Sensitivity Recall,CAS Recall,,retrieval-based,citation,"Measures the change in recall of correctly attributed documents when authorship metadata is added to the input documents. It quantifies how sensitive the model's recall performance is to the presence of authorship labels (e.g., [Human] vs. [LLM]).",https://arxiv.org/abs/2410.12380
Counterfactually-estimated Attribution Sensitivity Precision,CAS Precision,,retrieval-based,citation,"Captures the change in precision of attributions when authorship metadata is included. It assesses whether the inclusion of metadata alters the accuracy of cited documents, indicating model sensitivity to this metadata in its citation behavior.",https://arxiv.org/abs/2410.12380
Counterfactually-estimated Attribution Bias Recall,CAB Recall,,retrieval-based,citation,"Quantifies the difference in attribution recall when documents are labeled as written by humans vs. LLMs, holding content constant. It evaluates the bias in recalling documents depending on their authorship label.",https://arxiv.org/abs/2410.12380
Counterfactually-estimated Attribution Bias Precision,CAB Precision,,retrieval-based,citation,"Measures the difference in precision of attributions when the same documents are attributed to humans vs. LLMs. It reflects how much more precisely a model cites documents based on perceived authorship, indicating bias.",https://arxiv.org/abs/2410.12380
Attribution Confidence,AC,,inference-based,citation,"Defined as the average model-assigned probability of generating attribution tokens (e.g., citation numbers) in the answer. It indicates the confidence level of the model when making attributions, often correlating with bias toward human-labeled content.",https://arxiv.org/abs/2410.12380
Normalized Discounted Cumulative Gain@k,nDCG@k,QUILL,retrieval-based,retrieval,Normalized discounted cumulative gain at rank k; rewards putting the correct quote higher in the ranking.,https://arxiv.org/abs/2411.03675
Quotation Authenticity,Quotation Authenticity,QUILL,llm-as-a-judge,citation,"Checks whether the string the model produced can be verified as an authentic, externally documented quotation, thereby detecting hallucinated/fabricated quotes.",https://arxiv.org/abs/2411.03675
Quotation Credibility,Quotation Credibility,QUILL,llm-as-a-judge,citation,"Given any author/source already mentioned in the surrounding text, the metric verifies with GPT-4o and search evidence, whether the generated quote is actually from that author/source; returns 1 / 0.",https://arxiv.org/abs/2411.03675
Semantic Matching,Semantic Matching,QUILL,llm-as-a-judge,relevance,Computes perplexity of the right context cr conditioned on the left context + quote; lower perlexity ⇒ quote semantically fits the paragraph. The perplexity is rescaled to 0-1 with an inverted sigmoid.,https://arxiv.org/abs/2411.03675
Semantic Fluency,Semantic Fluency,QUILL,llm-as-a-judge,linguistic,"Runs perplexity over the entire paragraph after inserting the quotation; lower perplexity ⇒ smoother, more coherent prose. Also mapped to 0-1 with a sigmoid.",https://arxiv.org/abs/2411.03675
Quotation Novelty,Quotation Novelty,QUILL,llm-as-a-judge,novelty,"Scores Novelty=perlexity(quote) / log10​(Bing hits))​; uncommon quotes with high perplexity and few search results get higher scores, encouraging original or less-cliché quotations.",https://arxiv.org/abs/2411.03675
Accuracy-2,Accuracy-2,,human evaluation,correctness,Evaluators judged whether the information in the model's response was factually correct or not. A response was marked as accurate or inaccurate based on medical correctness.,https://arxiv.org/abs/2411.02657
Thouroughness-2,Thouroughness-2,,human evaluation,correctness,"Evaluators assessed whether the response fully addressed the user's question. It was labeled as thorough if it covered all relevant aspects, or not thorough if important elements were missing.",https://arxiv.org/abs/2411.02657
Clarity-2,Clarity-2,,human evaluation,linguistic,"This metric measured how understandable and well-articulated the response was. Responses were marked as clear if they were coherent and easy to comprehend, or unclear otherwise.",https://arxiv.org/abs/2411.02657
